Date,ICU_admissions,ICU_cancelled,ICU_deaths,ICU_admissions_demand,Prop,ICU_admissions_bog
2021-11-25,13,4,0,17,0,13
2021-11-26,10,3,0,13,0,10
2021-11-27,21,2,0,23,0,21
2021-11-28,17,2,0,19,0,17
2021-11-29,15,1,0,16,0,15
2021-11-30,9,5,0,14,0,9
2021-12-01,14,5,0,19,0,14
2021-12-02,16,2,0,18,0,16
2021-12-03,11,4,0,15,0,11
2021-12-04,7,3,0,10,0,7
2021-12-05,5,4,0,9,0,5
2021-12-06,21,4,1,25,0,21
2021-12-07,16,4,0,20,0,16
2021-12-08,10,4,0,14,0,10
2021-12-09,15,3,0,18,0,15
2021-12-10,19,5,0,24,0,19
2021-12-11,14,9,1,23,0,14
2021-12-12,15,5,0,20,0,15
2021-12-13,19,6,0,25,0,19
2021-12-14,15,4,1,19,0,15
2021-12-15,20,8,0,28,0,20
2021-12-16,8,6,0,14,0,8
2021-12-17,15,5,0,20,0,15
2021-12-18,25,3,1,28,0,25
2021-12-19,19,6,0,25,0,19
2021-12-20,20,4,1,24,0,20
2021-12-21,17,5,1,22,0,17
2021-12-22,22,5,0,27,0,22
2021-12-23,15,7,2,22,0,15
2021-12-24,20,3,0,23,0,20
2021-12-25,15,2,0,17,0,15
2021-12-26,14,0,0,14,0,14
2021-12-27,23,2,1,25,0,23
2021-12-28,22,8,0,30,0,22
2021-12-29,21,2,0,23,0,21
2021-12-30,19,7,0,26,0,19
2021-12-31,17,3,0,20,0,17
2022-01-01,13,0,0,13,0,13
2022-01-02,22,1,0,23,0,22
2022-01-03,24,5,0,29,0,24
2022-01-04,26,4,1,30,0,26
2022-01-05,29,2,0,31,0,29
2022-01-06,26,3,0,29,0,26
2022-01-07,34,4,1,38,0,34
2022-01-08,30,4,1,34,0,30
2022-01-09,27,11,0,38,0,27
2022-01-10,30,5,0,35,0,30
2022-01-11,33,9,2,42,0,33
2022-01-12,35,6,1,41,0,35
2022-01-13,42,8,0,50,0,42
2022-01-14,28,12,2,40,0,28
2022-01-15,34,12,0,46,0,34
2022-01-16,37,6,2,43,0,37
2022-01-17,38,10,1,48,0,38
2022-01-18,41,14,0,55,0,41
2022-01-19,63,17,1,80,0,63
2022-01-20,44,14,0,58,0,44
2022-01-21,71,9,1,80,0,71
2022-01-22,44,13,0,57,0,44
2022-01-23,65,14,1,79,0,65
2022-01-24,44,12,0,56,0,44
2022-01-25,62,11,2,73,0,62
2022-01-26,47,8,0,55,0,47
2022-01-27,56,9,1,65,0,56
2022-01-28,53,10,1,63,0,53
2022-01-29,50,13,2,63,0,50
2022-01-30,44,9,2,53,0,44
2022-01-31,60,13,3,73,0,60
2022-02-01,43,13,0,56,0,43
2022-02-02,57,13,1,70,0,57
2022-02-03,59,10,2,69,0,59
2022-02-04,55,9,1,64,0,55
2022-02-05,47,11,0,58,0,47
2022-02-06,46,14,1,60,0,46
2022-02-07,53,21,0,74,0,53
2022-02-08,40,12,0,52,0,40
2022-02-09,39,8,0,47,0,39
2022-02-10,52,11,2,63,0,52
2022-02-11,44,8,2,52,0,44
2022-02-12,26,4,0,30,0,26
2022-02-13,29,6,1,35,0,29
2022-02-14,34,7,0,41,0,34
2022-02-15,36,5,0,41,0,36
2022-02-16,43,2,0,45,0,43
